,Variable,Size (MB)
40,SIGMA_PIX,2.288818359375e-05
107,runtime,2.288818359375e-05
106,end_time,2.288818359375e-05
104,start_time,2.288818359375e-05
60,n_cells,2.6702880859375e-05
62,idx,2.6702880859375e-05
66,i,2.6702880859375e-05
69,j,2.6702880859375e-05
137,sigma_pix,2.6702880859375e-05
39,WELL_DIM,2.6702880859375e-05
96,indices_memory,2.6702880859375e-05
97,indptr_memory,2.6702880859375e-05
98,total_memory,2.6702880859375e-05
95,data_memory,2.6702880859375e-05
38,MAP_DIM,2.6702880859375e-05
129,col,2.6702880859375e-05
128,row,2.6702880859375e-05
127,cols,2.6702880859375e-05
119,pix,2.6702880859375e-05
123,summed_chains,2.6702880859375e-05
117,chain,2.6702880859375e-05
125,num_maps,2.6702880859375e-05
126,rows,2.6702880859375e-05
51,time,3.0517578125e-05
144,_31,4.57763671875e-05
64,fig,4.57763671875e-05
67,ax,4.57763671875e-05
103,parent_matrix,4.57763671875e-05
80,_13,4.57763671875e-05
87,executor,4.57763671875e-05
132,_24,4.57763671875e-05
89,future,4.57763671875e-05
90,result,4.57763671875e-05
94,csr,4.57763671875e-05
112,_20,4.57763671875e-05
105,child_matrix,4.57763671875e-05
79,small,4.57763671875e-05
82,_14,4.57763671875e-05
36,_3,4.57763671875e-05
6,exit,4.57763671875e-05
7,quit,4.57763671875e-05
159,_i38,4.57763671875e-05
28,_2,4.57763671875e-05
41,SCALE,5.340576171875e-05
42,TRANSLATE,5.340576171875e-05
158,_i37,5.53131103515625e-05
5,get_ipython,6.103515625e-05
149,_i34,6.67572021484375e-05
77,shape,6.866455078125e-05
84,concurrent,6.866455078125e-05
21,plot,6.866455078125e-05
20,ot,6.866455078125e-05
19,os,6.866455078125e-05
14,napari,6.866455078125e-05
17,pd,6.866455078125e-05
16,skimage,6.866455078125e-05
15,np,6.866455078125e-05
161,sys,6.866455078125e-05
18,timeit,6.866455078125e-05
152,scipy,6.866455078125e-05
121,psutil,6.866455078125e-05
156,_i36,7.2479248046875e-05
27,plate_coords,8.392333984375e-05
75,d,8.392333984375e-05
150,_34,8.392333984375e-05
78,FOR,8.392333984375e-05
81,_i14,8.58306884765625e-05
25,viewer,9.1552734375e-05
23,path,9.918212890625e-05
76,ip,9.918212890625e-05
32,ground_truth_values,0.0001068115234375
157,_36,0.00011444091796875
2,_dh,0.00011444091796875
9,_,0.00011444091796875
110,selected_coords,0.0001220703125
53,coords,0.0001220703125
56,set,0.0001220703125
31,init_cell_coords,0.0001220703125
33,unique_values,0.00012969970703125
91,_i16,0.0001392364501953125
73,reshape_csr,0.000152587890625
85,process_time_step,0.000152587890625
71,pad_csr,0.000152587890625
30,get_color,0.000152587890625
8,open,0.000152587890625
122,check_memory_usage,0.000152587890625
92,memory_usage,0.000152587890625
147,_i33,0.00016117095947265625
74,_i13,0.00018215179443359375
142,_i30,0.00020694732666015625
141,_i29,0.00020694732666015625
143,_i31,0.00020694732666015625
34,color_map,0.000213623046875
138,_i26,0.00021457672119140625
44,_i6,0.0002155303955078125
26,_i2,0.00024318695068359375
130,_i24,0.0002460479736328125
48,_i8,0.0002593994140625
139,_i27,0.0002593994140625
45,_i7,0.00027370452880859375
151,_i35,0.00027561187744140625
86,sk,0.00028228759765625
146,differences,0.00029754638671875
135,gt_maps,0.00029754638671875
116,cleaned_chains,0.00029754638671875
134,gt_set,0.00029754638671875
55,time_maps,0.00029754638671875
153,pearson_score,0.00029754638671875
131,predictions,0.00029754638671875
102,gens_back,0.00029754638671875
101,chains,0.00029754638671875
49,time_set,0.00029754638671875
148,total_diffs,0.00029754638671875
47,_7,0.00031375885009765625
113,_i21,0.00033283233642578125
4,Out,0.000335693359375
1,_oh,0.000335693359375
50,times,0.00034332275390625
99,_i18,0.00038623809814453125
13,_i1,0.0003871917724609375
65,axes,0.00038909912109375
145,_i32,0.00039768218994140625
0,_ih,0.00045013427734375
3,In,0.00045013427734375
100,_i19,0.00047397613525390625
63,_i10,0.0004987716674804688
93,_i17,0.0005064010620117188
70,_i11,0.0005273818969726562
140,_i28,0.0005292892456054688
54,_i9,0.0005292892456054688
108,_i20,0.0005712509155273438
37,_i4,0.0005865097045898438
43,_i5,0.00058746337890625
120,_i22,0.0006437301635742188
124,_i23,0.0006856918334960938
72,_i12,0.0007753372192382812
162,_i40,0.0008869171142578125
11,_ii,0.0008869171142578125
160,_i39,0.0008878707885742188
12,_iii,0.0008878707885742188
163,_i41,0.000942230224609375
10,_i,0.000942230224609375
164,_i42,0.000946044921875
29,_i3,0.0010900497436523438
88,futures,0.0011138916015625
133,_i25,0.001262664794921875
22,csr_matrix,0.00162506103515625
83,_i15,0.004673957824707031
61,prop,0.0050048828125
59,current_cells,0.009918212890625
58,cell_coords,0.009918212890625
52,this_time,0.025133132934570312
109,selected_cells,0.025133132934570312
115,selected_pix,0.03993988037109375
118,clean,0.03993988037109375
35,colors,0.16500091552734375
46,translated_df,0.6563949584960938
154,a,0.7332916259765625
155,b,0.7332916259765625
114,flat_sel_map,0.7332916259765625
57,density_map,0.733306884765625
68,map,0.733306884765625
136,gt_map,0.733306884765625
111,selected_map,0.733306884765625
24,df,5.518589973449707
